Timestamp;dealdata
3000;107
29000;-73
55000;-27
80000;-25
106000;-9
132000;-1
158000;-63
184000;-81
210000;1
236000;-41
262000;3
288000;46
313000;44
339000;6
365000;45
391000;-1
417000;23
443000;61
469000;43
495000;-17
521000;-1
547000;-3
573000;-13
599000;-9
625000;39
650000;23
676000;-65
702000;47
728000;-45
755000;-63
781000;47
807000;-25
833000;59
859000;-47
885000;11
911000;-81
937000;-9
963000;35
989000;45
1015000;21
1040000;-53
1066000;23
1092000;27
1118000;-25
1144000;5
1170000;-1
1196000;5
1222000;-5
1248000;-25
1274000;39
1300000;23
1326000;-3
1352000;15
1378000;63
1403000;-19
1429000;-13
1455000;31
1481000;23
1507000;-13
1533000;71
1559000;-81
1585000;31
1611000;-3
1637000;27
1663000;-10
1689000;-31
1715000;-9
1741000;47
1767000;-154
1792000;19
1818000;29
1844000;82
1870000;-29
1896000;51
1922000;15
1948000;-45
1974000;31
2000000;-28
2026000;-57
2052000;-57
2078000;-41
2104000;-27
2130000;-29
2155000;-50
2181000;-45
2207000;-17
2233000;-153
2259000;-201
2285000;-161
2311000;-121
2337000;-145
2363000;-123
2389000;-51
2415000;-105
2441000;-3
2467000;-43
2493000;-57
2518000;-9
2544000;-49
2570000;7
2596000;-17
2622000;60
2648000;3
2674000;-59
2700000;3
2726000;31
2752000;-35
2778000;19
2804000;27
2831000;-13
2857000;-20
2883000;-17
2908000;15
2934000;-51
2960000;31
2986000;-49
3012000;34
3038000;20
3064000;-17
3090000;47
3116000;18
3142000;-34
3168000;-65
3194000;19
3220000;-57
3246000;-3
3272000;-51
3297000;103
3323000;-13
3349000;-35
3375000;-33
3401000;-46
3427000;-25
3453000;-25
3479000;-30
3505000;-73
3531000;34
3557000;-69
3583000;12
3609000;-61
3635000;37
3660000;33
3686000;-5
3712000;59
3738000;-1
3764000;-37
3790000;35
3816000;-84
3842000;29
3868000;11
3894000;7
3920000;-13
3946000;3
3972000;-65
3998000;-49
4023000;-97
4049000;-1
4075000;-11
4101000;-77
4127000;-41
4153000;-59
4179000;7
4205000;-9
4231000;-30
4257000;7
4283000;39
4309000;39
4335000;-28
4361000;-57
4387000;-67
4412000;-25
4438000;3
4464000;-30
4490000;27
4516000;-61
4542000;-13
4568000;-31
4594000;-29
4620000;15
4646000;6
4672000;-41
4698000;-75
4724000;17
4750000;-13
4776000;-57
4802000;45
4828000;22
4854000;-42
4880000;-59
4907000;35
4933000;-31
4959000;13
4985000;-1
5011000;19
5037000;-49
5063000;-76
5089000;-63
5115000;-33
5140000;-17
5166000;77
5192000;21
5219000;14
5245000;19
5271000;29
5297000;-21
5323000;-19
5349000;-3
5375000;62
5401000;6
5427000;7
5453000;-43
5479000;-5
5505000;-10
5530000;-46
5556000;5
5582000;-65
5608000;71
5634000;-25
5660000;21
5686000;-77
5712000;28
5738000;-25
5764000;51
5790000;77
5816000;-29
5842000;-50
5868000;47
5893000;4
5919000;-33
5946000;31
5972000;22
5998000;-51
6024000;-116
6050000;2
6076000;-35
6102000;7
6128000;23
6154000;-4
6180000;46
6206000;23
6232000;-18
6258000;23
6283000;33
6309000;50
6335000;-26
6361000;1
6387000;22
6413000;-57
6439000;-30
6465000;-17
6491000;38
6517000;-9
6543000;-1
6569000;18
6595000;-45
6621000;18
6646000;53
6672000;-53
6698000;99
6724000;-13
6750000;3
6775000;39
6801000;21
6827000;-51
6853000;-69
6879000;-59
6905000;-67
6931000;21
6957000;-66
6984000;66
7009000;23
7035000;23
7061000;39
7086000;38
7112000;-65
7138000;-17
7164000;-49
7190000;7
7216000;-1
7242000;-124
7268000;39
7294000;7
7320000;-25
7346000;-18
7372000;46
7398000;-47
7423000;3
7449000;3
7475000;15
7501000;-3
7527000;-25
7553000;-61
7579000;13
7605000;39
7631000;-41
7657000;-13
7683000;-3
7709000;22
7736000;3
7762000;3
7788000;87
7813000;-1
7839000;-25
7865000;-57
7891000;27
7917000;31
7943000;15
7969000;7
7995000;-11
8022000;-95
8048000;-69
8074000;93
8100000;-21
8126000;37
8152000;-1
8178000;-45
8203000;67
8229000;39
8255000;6
8281000;-61
8307000;-91
8333000;-20
8359000;-29
8385000;51
8411000;39
8437000;7
8463000;-45
8489000;-75
8515000;-9
8541000;-34
8566000;6
8592000;3
8618000;13
8644000;94
8670000;-34
8696000;34
8722000;-61
8748000;-57
8774000;-20
8800000;78
